Datetime,Close,High,Low,Open,Volume,SMA_5,SMA_10,EMA_5,EMA_10,RSI_7,ATR_7,ADX_10,CCI_10,MACD,MACD_signal,MACD_hist,STOCH_slowk,STOCH_slowd,BB_upper,BB_middle,BB_lower,VWAP,Typical_Price
2025-06-12 01:35:00+00:00,108340.6640625,108351.984375,108297.9453125,108351.984375,118943744,108434.7671875,108549.78984375,108419.93164207657,108494.06029841259,30.866897145919275,102.80013810654737,23.732416149859283,-130.2507515143661,-95.71978850726737,-23.798486274394236,-71.92130223287313,10.413804019638826,11.470938985372575,108816.1310650237,108556.59486607143,108297.05866711917,108585.22649002023,108330.19791666667
2025-06-12 01:40:00+00:00,108508.5390625,108508.5390625,108372.5703125,108372.5703125,941387776,108414.0296875,108526.47578125,108449.46744888437,108496.69280097393,48.65036888951845,112.09654694846917,22.63718793837646,-41.8523844608992,-65.38022801134503,-33.03887332704997,-32.341354684295055,24.802643657058933,13.815840380430336,108816.2677391449,108557.45703125,108298.6463233551,108557.56780341489,108463.21614583333
2025-06-12 01:45:00+00:00,108314.5,108501.3828125,108314.5,108501.3828125,18329600,108389.3171875,108485.45234375,108404.47829925625,108463.5668371605,36.12076436679969,123.80262059868787,22.405148685522775,-80.01775205825119,-81.88981353693816,-43.89463781813623,-37.99517571880193,27.422963190125163,20.87980362227431,108830.24306855511,108542.90959821429,108255.57612787347,108556.77339931179,108376.79427083333
2025-06-12 01:50:00+00:00,108440.40625,108440.40625,108350.078125,108350.078125,7127040,108382.0375,108471.378125,108416.4542828375,108459.35582131313,46.542996617321144,124.10313908458959,22.19631335795446,-47.175633590624145,-63.442204621227575,-48.23854155215653,-15.203663069071041,45.78932498310351,32.67164394342921,108823.50858920171,108532.59040178571,108241.67221436971,108556.52354351603,108410.296875
2025-06-12 01:55:00+00:00,108487.7578125,108501.15625,108486.28125,108489.8671875,21868544,108418.3734375,108453.7125,108440.22212605833,108464.51981971074,50.114178574206115,115.05269064393393,20.800414912063555,27.59571930225272,-40.86031121124688,-46.598934809732164,5.738623598485283,55.21343423851214,42.80857413724694,108794.92616453255,108517.79296875,108240.65977296745,108556.1861903612,108491.73177083333
2025-06-12 02:00:00+00:00,108679.609375,108679.609375,108498.4140625,108503.2109375,0,108486.1625,108460.46484375,108520.01787570555,108503.62701158151,62.08651455788008,126.02395805194337,20.56803982388045,144.38097362604785,10.532511747369426,-33.90305779704292,44.435569544412346,85.92644803877924,62.30973575346496,108777.71515294531,108513.359375,108249.00359705469,108556.1861903612,108619.2109375
2025-06-12 02:05:00+00:00,108661.4921875,108750.4453125,108661.4921875,108678.703125,0,108516.753125,108465.39140625,108567.17597963703,108532.32977083942,60.487187130690224,120.72812475880859,21.159207871194887,172.722230631892,35.94739811671025,-18.380734260653327,54.32813237736357,89.9091382752968,77.01634018419605,108760.44957991938,108508.84207589286,108257.23457186633,108556.1861903612,108691.14322916667
2025-06-12 02:10:00+00:00,108701.96875,108701.96875,108644.7578125,108672.1484375,75579392,108594.246875,108491.78203125,108612.10690309135,108563.17322159589,62.97326730013142,111.65424086469308,21.37352865203885,121.85506346498651,56.4682308936317,-1.747630893034433,58.21586178666613,89.16244063932193,88.33267565113265,108786.11907666,108517.47209821429,108248.82511976857,108558.42605331568,108682.8984375
2025-06-12 02:15:00+00:00,108602.0546875,108635.9609375,108595.4375,108631.84375,40972288,108626.5765625,108504.30703125,108608.7561645609,108570.242579033,53.31317052695624,110.92238502687978,20.629179124367685,60.882392971773434,46.47420767598669,8.968333233414706,37.50587444257199,70.43788696667137,83.16982196043001,108773.7222362486,108513.01785714286,108252.3134780371,108558.92650741673,108611.15104166667
2025-06-12 02:20:00+00:00,108597.0546875,108612.859375,108597.0546875,108599.8359375,10223616,108648.4359375,108533.4046875,108604.85567220727,108575.11750784518,52.83993461060626,97.3341425230398,19.959264549463633,43.735710809758196,37.59789880513563,15.330458916019355,22.267439889116275,56.95218828376244,72.1841719632519,108771.12712814161,108511.94419642857,108252.76126471552,108559.02904627676,108602.32291666667
2025-06-12 02:25:00+00:00,108593.3828125,108622.28125,108593.3828125,108614.359375,778240,108631.190625,108558.6765625,108601.03138563818,108578.43847232788,52.441112017138636,87.55761323403411,19.50792075333323,33.312551071587514,30.035941412032116,18.598343915133302,11.437597496898814,27.65486356231533,51.68164627091636,108767.87272261862,108510.59821428571,108253.3237059528,108559.03695644619,108603.015625
2025-06-12 02:30:00+00:00,108518.6953125,108611.84375,108518.6953125,108591.53125,0,108602.63125,108559.6921875,108573.58602792546,108567.5760796319,44.47509561650293,88.35630241488639,17.56282216069956,-11.002532020433554,10.05834950110875,16.700567378683402,-6.642217877574652,13.046083901632556,32.55104524923676,108770.46978738107,108516.35770089286,108262.24561440464,108559.03695644619,108549.74479166667
2025-06-12 02:35:00+00:00,108558.0234375,108576.6640625,108526.609375,108526.609375,801894400,108573.8421875,108584.04453125,108568.39849778364,108565.83923560791,49.21437402739823,84.01522349847404,15.81223342732926,-28.867540426412916,5.654685099580092,14.245926872216,-8.591241772635907,11.17921385742837,17.2933871071254,108776.10264977979,108522.15904017857,108268.21543057734,108558.21288998245,108553.765625
