Price,Close,High,Low,Open,High-Low,Open-Close,Volume,SMA_2,SMA_5,EMA_5,EMA_8,RSI_7,ATR_10,ADX_10,CCI_10,MACD,MACD_signal,MACD_hist,STOCH_slowk,STOCH_slowd,BB_upper,BB_middle,BB_lower
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,,,^NSEBANK,,,,,,,,,,,,,,,,
Datetime,,,,,,,,,,,,,,,,,,,,,,,
2025-03-17 10:50:00+05:30,48356.35156,48362.19922,48332.64844,48335.85156,29.55078125,-20.5,0,48346.32617,48336.63047,48347.52303,48351.58153,52.19914344,46.65836342,25.3948323,-32.66947313,-3.579870398,-1.359880796,-2.219989602,47.9937665,30.70277915,48422.32427,48368.60045,48314.87663
2025-03-17 10:55:00+05:30,48373.69922,48386.39844,48353.35156,48354.14844,33.046875,-19.55078125,0,48365.02539,48345.76016,48356.24843,48356.49657,58.29951236,45.29721458,24.42611374,28.7427863,0.454830768,-0.633996171,1.088826939,67.97583319,48.12715976,48420.54626,48367.66825,48314.79023
2025-03-17 11:00:00+05:30,48373.60156,48391.5,48364.25,48372.75,27.25,-0.8515625,0,48373.65039,48353.35078,48362.03281,48360.29768,58.25068902,43.49249312,23.80734733,52.42896319,2.892540558,0.776618521,2.115922037,81.37525559,65.78161843,48421.18886,48368.23968,48315.29049
2025-03-17 11:05:00+05:30,48415.64844,48418.30078,48371,48373.14844,47.30078125,-42.5,0,48394.625,48371.12031,48379.90468,48372.59785,70.61297294,43.87332193,24.46969609,116.0580166,10.27364949,4.575430908,5.69821858,88.41036711,79.25381863,48429.03503,48370.85379,48312.67256
2025-03-17 11:10:00+05:30,48415.5,48420.55078,48394.44922,48416.05078,26.1015625,0.55078125,0,48415.57422,48386.96016,48391.76979,48382.13166,70.5269605,42.09614599,25.16125415,130.1523174,14.35215778,8.486121658,5.866036125,91.06152711,86.94904994,48435.99258,48373.47154,48310.9505
2025-03-17 11:15:00+05:30,48405.25,48454.64844,48387.44922,48414.64844,67.19921875,9.3984375,0,48410.375,48396.73984,48396.26319,48387.26907,64.22457411,44.60645327,27.07127612,113.7744737,14.7991156,11.01131924,3.787796368,80.90649753,86.79279725,48434.39608,48372.98577,48311.57546
2025-03-17 11:20:00+05:30,48429.10156,48436.35156,48395.19922,48405.05078,41.15234375,-24.05078125,0,48417.17578,48407.82031,48407.20932,48396.56518,71.2092026,44.26104231,28.7902959,99.24514757,17.87608379,13.75722506,4.11885873,72.40926337,81.45909601,48443.93927,48376.1716,48308.40392
2025-03-17 11:25:00+05:30,48429.64844,48433.69922,48410.89844,48429.25,22.80078125,-0.3984375,0,48429.375,48419.02969,48414.68902,48403.91701,71.3587807,42.11501621,30.33741371,87.9534026,19.10843079,15.89770735,3.210723437,64.36223362,72.55933151,48450.51648,48378.25,48305.98352
